2022-02-01,1
2022-02-02,1
2022-02-03,1
2022-02-04,1
2022-02-05,1
2022-02-06,2
2022-02-07,2
2022-02-08,1
2022-02-09,1
2022-02-10,1
2022-02-11,3
2022-02-12,6
2022-02-13,6
2022-02-14,6
2022-02-15,6
2022-02-16,5
2022-02-17,5
2022-02-18,5
2022-02-19,7
2022-02-20,8
2022-02-21,9
2022-02-22,16
2022-02-23,12
2022-02-24,100
2022-02-25,76
2022-02-26,63
2022-02-27,59
2022-02-28,52
2022-03-01,45
2022-03-02,39
2022-03-03,31
2022-03-04,32
2022-03-05,27
2022-03-06,25
2022-03-07,22
2022-03-08,19
2022-03-09,18
2022-03-10,16
2022-03-11,15
2022-03-12,14
2022-03-13,15
2022-03-14,14
2022-03-15,13
2022-03-16,12
2022-03-17,12
2022-03-18,11
2022-03-19,11
2022-03-20,11
2022-03-21,10
2022-03-22,10
2022-03-23,9
2022-03-24,9
2022-03-25,9
2022-03-26,8
2022-03-27,9
2022-03-28,8
2022-03-29,7
2022-03-30,6
2022-03-31,7
